C.A.T,C-A,Season,Condition,A.expo,Sample,mmet,microlitres.standar,miligrams,microlitres,inyection.microlitres,microlitres.standar,Area.standar.porc,We.needle.grams,microlitres.metabolites,beta.pinene,L.alfa.bornyl.acetate,beta.Caryophyllene.oxide,alfa.Caryophyllene,beta.Cubebene,alfa.Cubenene,delta.Cadinene,alfa.Muurolene
tolerant-2015-MC,tolerant-2015,MC,tolerant,2015,MCH1-15,3,82.34,10,1000,2,10,82.34,1.03,490,0.79,0.47,3.61,0,0.6,0.53,1.09,0.35
tolerant-2015-MC,tolerant-2015,MC,tolerant,2015,MCH2-15,5,25.06,10,1000,2,10,25.06,1.058,490,0,8,10.14,1.72,2.7,3.34,0,1.71
tolerant-2015-MC,tolerant-2015,MC,tolerant,2015,MCH3-15,6,44.33,10,1000,2,10,44.33,1.08,490,7.44,4.66,12.21,1.58,0.79,1.73,3.87,0
tolerant-2015-MC,tolerant-2015,MC,tolerant,2015,MCH4-15,7,26.03,10,1000,2,10,26.03,1.082,490,6.86,3.01,12.12,2.18,2.64,1.02,8.94,1.22
tolerant-2015-MC,tolerant-2015,MC,tolerant,2015,MCH5-15,8,28.85,10,1000,2,10,28.85,1.053,490,7.27,6.4,10.97,1.91,3.33,3.66,5.27,2.02
tolerant-2016-MC,tolerant-2016,MC,tolerant,2016,MCH1-16,9,53.88,10,1000,2,10,53.88,1.075,490,0,5.64,13.91,1.69,1.33,0.95,2.45,0
tolerant-2016-MC,tolerant-2016,MC,tolerant,2016,MCH2-16,10,47.46,10,1000,2,10,47.46,1.012,490,4.81,6.83,9.32,0,2.05,1.52,2.82,1.35
tolerant-2016-MC,tolerant-2016,MC,tolerant,2016,MCH3-16,11,76.12,10,1000,2,10,76.12,1.068,490,0,10.77,6.62,0,0,0,0.71,0
tolerant-2016-MC,tolerant-2016,MC,tolerant,2016,MCH4-16,12,68.18,10,1000,2,10,68.18,0.794,490,1.04,2.09,4.58,0,0.98,0.31,2.11,0.36
tolerant-2016-MC,tolerant-2016,MC,tolerant,2016,MCH5-16,13,56.81,10,1000,2,10,56.81,1.017,490,1.3,3.82,5.02,0.92,1.29,1.01,2.38,0.95
damaged-2015-MC,damaged-2015,MC,damaged,2015,MCD1-15,14,70.26,10,1000,2,10,70.26,1.069,490,0,1.08,4.95,0.72,0.44,0.3,1.9,0
damaged-2015-MC,damaged-2015,MC,damaged,2015,MCD2-15,15,124.58,10,1000,2,10,124.58,1.085,490,0,0,2.06,0,1.41,0.62,1.48,0.56
damaged-2015-MC,damaged-2015,MC,damaged,2015,MCD3-15,16,67.68,10,1000,2,10,67.68,1.07,490,1.03,0,5.15,0,0.55,0.33,2.13,0.52
damaged-2015-MC,damaged-2015,MC,damaged,2015,MCD4-15,17,77.92,10,1000,2,10,77.92,1.026,490,0,2.44,5.83,0.66,0,0,0.31,0
damaged-2015-MC,damaged-2015,MC,damaged,2015,MCD5-15,46,25.66,1,1000,2,50,25.66,0.88,450,4.37,3.95,9.36,2.5,1.43,1.18,3.42,2.03
damaged-2016-MC,damaged-2016,MC,damaged,2016,MCD1-16,18,20.99,1,1000,2,50,20.99,1.017,450,2.33,0,0,2.51,0,1.44,6.56,1.1
damaged-2016-MC,damaged-2016,MC,damaged,2016,MCD2-16,19,28.36,1,1000,2,50,28.36,1.02,450,2.69,7.97,5.36,1.71,2.11,2.26,5.96,1.38
damaged-2016-MC,damaged-2016,MC,damaged,2016,MCD3-16,20,23.68,1,1000,2,50,23.68,1.081,450,0,10.53,11.94,1.71,4.3,1.13,6.26,1.26
damaged-2016-MC,damaged-2016,MC,damaged,2016,MCD4-16,21,30.78,1,1000,2,50,30.78,1.061,450,0,0,16.78,1.94,0,0,0.69,0
damaged-2016-MC,damaged-2016,MC,damaged,2016,MCD5-16,22,27.42,1,1000,2,50,27.42,1.058,450,2.01,0,9.42,2.73,5.09,1.78,4.28,1.9
tolerant-2015-Conti,tolerant-2015,Conti,tolerant,2015,ContiH1-15,33,28.38,1,1000,2,50,28.38,0.865,450,2.25,0,18.95,2.23,0,0.99,14.48,1.33
tolerant-2015-Conti,tolerant-2015,Conti,tolerant,2015,ContiH2-15,34,54.42,1,1000,2,50,54.42,0.904,450,0,5.68,17.09,2.22,0,0,1.52,0
tolerant-2015-Conti,tolerant-2015,Conti,tolerant,2015,ContiH3-15,35,25.79,1,1000,2,50,25.79,0.865,450,6.99,0,11.03,1.64,1.79,2.64,2.4,1.66
tolerant-2015-Conti,tolerant-2015,Conti,tolerant,2015,ContiH4-15,36,34.31,1,1000,2,50,34.31,0.861,450,2.24,0,0,0,1.9,0.65,12.84,0
tolerant-2015-Conti,tolerant-2015,Conti,tolerant,2015,ContiH5-15,45,21.13,1,1000,2,50,21.13,0.862,450,0,6.73,9.39,1.69,2.32,1.53,2.69,2.21
tolerant-2016-Conti,tolerant-2016,Conti,tolerant,2016,ContiH1-16,39,22.96,1,1000,2,50,22.96,0.85,450,3.66,0,18.25,2.35,1.46,1.81,2.84,1.19
tolerant-2016-Conti,tolerant-2016,Conti,tolerant,2016,ContiH2-16,40,33.69,1,1000,2,50,33.69,0.873,450,7.18,7.63,15.81,1.95,0,0,1.27,0
tolerant-2016-Conti,tolerant-2016,Conti,tolerant,2016,ContiH3-16,41,24.46,1,1000,2,50,24.46,0.875,450,5.22,8.25,11.23,1.74,2.29,1.6,2.93,1.69
tolerant-2016-Conti,tolerant-2016,Conti,tolerant,2016,ContiH4-16,42,28.35,1,1000,2,50,28.35,0.917,450,2.78,3.29,11.69,1.7,1.84,0.79,5.41,1.02
tolerant-2016-Conti,tolerant-2016,Conti,tolerant,2016,ContiH5-16,43,12.33,1,1000,2,50,12.33,0.862,450,7.61,6.74,10.51,0,2.2,1.41,2.91,1.95
damaged-2015-Conti,damaged-2015,Conti,damaged,2015,ContiD1-15,23,9.81,1,1000,2,50,9.81,0.897,450,0,0,16.57,0,0,0,8.5,2.51
damaged-2015-Conti,damaged-2015,Conti,damaged,2015,ContiD2-15,24,15.69,1,1000,2,50,15.69,0.91,450,2.03,2.9,10.9,2.79,0.88,2.17,5.08,2.32
damaged-2015-Conti,damaged-2015,Conti,damaged,2015,ContiD3-15,44,27.02,1,1000,2,50,27.02,0.881,450,0,8.55,9.98,1.35,1.01,0.67,29.33,0
damaged-2015-Conti,damaged-2015,Conti,damaged,2015,ContiD4-15,26,41.29,1,1000,2,50,41.29,0.901,450,1.79,6.52,15.44,0,0,0,1.27,0
damaged-2015-Conti,damaged-2015,Conti,damaged,2015,ContiD5-15,27,32.75,1,1000,2,50,32.75,0.865,450,1.69,7.07,5.05,0,2.76,1.01,3.88,1.51
damaged-2016-Conti,damaged-2016,Conti,damaged,2016,ContiD1-16,29,19.73,1,1000,2,50,19.73,0.896,450,4.37,2.84,15.2,2.23,0.98,0.47,5.24,0
damaged-2016-Conti,damaged-2016,Conti,damaged,2016,ContiD2-16,30,22.09,1,1000,2,50,22.09,0.897,450,6.3,3.66,9.41,2.45,1.87,2.52,3.44,1.61
damaged-2016-Conti,damaged-2016,Conti,damaged,2016,ContiD3-16,31,28.3,1,1000,2,50,28.3,0.897,450,0,8.61,11.11,1.66,3.31,0,13.36,1.01
damaged-2016-Conti,damaged-2016,Conti,damaged,2016,ContiD4-16,32,27.42,1,1000,2,50,27.42,0.912,450,4.09,13.92,14.53,1.79,0,0,0.57,0
damaged-2016-Conti,damaged-2016,Conti,damaged,2016,ContiD5-16,38,31.64,1,1000,2,50,31.64,0.892,450,1.27,7.55,4.88,0,0,0.85,3.4,0
